Fecha,Residuo,Tipo,Clasificación,Tipo de Movimiento,Fuente,Cantidad (kg)
1/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,70.98
1/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,,789.3
1/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,,340
1/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,,116.8
1/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,,86.5
1/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,,248.1
3/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,98
3/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,30
3/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,112
3/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,17
3/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,11.4
3/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,13
3/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,16.6
4/01/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,370
4/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,158
4/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,55.6
4/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,258
4/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,292
4/01/2018,DS - Descarte,Proceso,Aprovechable,Ingreso,SIRCEM,58.6
4/01/2018,DS - Descarte,Proceso,Aprovechable,Salida,SIRCEM,210
4/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,23.2
4/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,30.2
4/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,8.8
4/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Almacén,22.2
4/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Salida,,130
4/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,19.8
4/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,5.2
4/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,23.2
4/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,42
4/01/2018,Material contaminado lubricante,Residuo Peligroso,Y9,Salida,,14.6
4/01/2018,Material impregnado de Crudo,Residuo Peligroso,Y9,Salida,,74.8
4/01/2018,Sólidos contaminados pintura,Residuo Peligroso,Y12,Salida,,28.2
4/01/2018,Laboratorio y Hospitalarios,Residuo Peligroso,A4020,Salida,,0.1
4/01/2018,Cinta marcación,Residuo Peligroso,Y12,Salida,,7.2
5/01/2018,Lonas,Convencionales,Aprovechable,Salida,,8.8
5/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,81
5/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea C,215
5/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea B,287
5/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,56
5/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Ingreso,Línea A,297
5/01/2018,RS - Recorte Seco,Proceso,Aprovechable,Salida,,2130
5/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea A,82.6
5/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,72.8
5/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,91
5/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Salida,,900
5/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea C,14.4
5/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea D,16.2
5/01/2018,PP - Polipropileno,Convencionales,Aprovechable,Ingreso,Línea A,8.8
5/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,79.4
5/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Cempa,15.4
5/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea C,8.6
5/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea D,1.6
5/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,47.2
5/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,Cempa,35
6/01/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,610
6/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea D,166
6/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea C,63.8
6/01/2018,RH - Recorte Humedo,Proceso,Aprovechable,Ingreso,Línea B,32.6
6/01/2018,PL - Polietileno,Convencionales,Aprovechable,Ingreso,Línea A,34.2
6/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Ingreso,CEDI,32.4
9/01/2018,Ordinarios,Ordinarios,No Aprovechable,Salida,,450
9/01/2018,PV - Plásticos Varios,Convencionales,Aprovechable,Salida,,150
9/01/2018,Plegadiza,Convencionales,Aprovechable,Salida,,90
